Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q9H1Z4|WDR13_HUMAN,WD repeat-containing protein 13 OS=Homo sapiens OX=9606 GN=WDR13 PE=1 SV=3,WDR13,4.6993E+5,4.8729E+5,4.5635E+5
sp|Q9HBF4|ZFYV1_HUMAN,Zinc finger FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZFYVE1 PE=1 SV=1,ZFYVE1,2.8592E+4,2.6463E+4,2.5486E+4
sp|Q9HC57|WFDC1_HUMAN,WAP four-disulfide core domain protein 1 OS=Homo sapiens OX=9606 GN=WFDC1 PE=1 SV=2,WFDC1,3.7614E+3,#N/A,5.6789E+3
sp|Q9HCU5|SEC12_HUMAN,Guanine nucleotide-exchange factor SEC12 OS=Homo sapiens OX=9606 GN=PREB PE=1 SV=2,PREB,4.8148E+5,4.7919E+5,3.3488E+5
sp|Q9UBW5|BIN2_HUMAN,Bridging integrator 2 OS=Homo sapiens OX=9606 GN=BIN2 PE=1 SV=3,BIN2,1.2386E+7,1.3124E+7,1.4003E+7
sp|Q9Y4G6|TLN2_HUMAN,Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4,TLN2,7.4003E+4,3.1437E+4,6.4447E+4
sp|Q9Y584|TIM22_HUMAN,Mitochondrial import inner membrane translocase subunit Tim22 OS=Homo sapiens OX=9606 GN=TIMM22 PE=1 SV=2,TIMM22,1.7028E+4,2.6150E+4,1.9389E+4
sp|Q9Y5Y2|NUBP2_HUMAN,Cytosolic Fe-S cluster assembly factor NUBP2 OS=Homo sapiens OX=9606 GN=NUBP2 PE=1 SV=1,NUBP2,5.0030E+4,5.5944E+4,5.9309E+4
sp|Q9Y616|IRAK3_HUMAN,Interleukin-1 receptor-associated kinase 3 OS=Homo sapiens OX=9606 GN=IRAK3 PE=1 SV=2,IRAK3,5.7227E+4,5.8690E+4,5.6725E+4
sp|O43776|SYNC_HUMAN,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",NARS1,3.3611E+5,2.8068E+5,2.9839E+5
sp|O60568|PLOD3_HUMAN,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1,PLOD3,2.4649E+5,3.4670E+5,2.7707E+5
sp|O95427|PIGN_HUMAN,GPI ethanolamine phosphate transferase 1 OS=Homo sapiens OX=9606 GN=PIGN PE=1 SV=1,PIGN,4.5822E+4,3.7169E+4,3.0353E+4
sp|O95857|TSN13_HUMAN,Tetraspanin-13 OS=Homo sapiens OX=9606 GN=TSPAN13 PE=1 SV=1,TSPAN13,#N/A,#N/A,#N/A
sp|P07359|GP1BA_HUMAN,Platelet glycoprotein Ib alpha chain OS=Homo sapiens OX=9606 GN=GP1BA PE=1 SV=2,GP1BA,8.0646E+7,8.5133E+7,8.0998E+7
sp|P0DMQ9|CH089_HUMAN,Putative uncharacterized protein C8orf89 OS=Homo sapiens OX=9606 GN=C8orf89 PE=2 SV=1,C8orf89,#N/A,#N/A,#N/A
sp|P21283|VATC1_HUMAN,V-type proton ATPase subunit C 1 OS=Homo sapiens OX=9606 GN=ATP6V1C1 PE=1 SV=4,ATP6V1C1,2.9651E+5,3.1656E+5,1.7071E+5
sp|P22570|ADRO_HUMAN,"NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=FDXR PE=1 SV=3",FDXR,8.2828E+4,1.0869E+5,6.2215E+4
sp|P57729|RAB38_HUMAN,Ras-related protein Rab-38 OS=Homo sapiens OX=9606 GN=RAB38 PE=1 SV=1,RAB38,2.9811E+5,3.2953E+5,2.6842E+5
sp|Q03169|TNAP2_HUMAN,Tumor necrosis factor alpha-induced protein 2 OS=Homo sapiens OX=9606 GN=TNFAIP2 PE=1 SV=2,TNFAIP2,5.9287E+3,6.0165E+3,1.1050E+4
sp|Q04206|TF65_HUMAN,Transcription factor p65 OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=2,RELA,3.0254E+5,3.6740E+5,3.1031E+5
sp|Q4U2R6|RM51_HUMAN,Large ribosomal subunit protein mL51 OS=Homo sapiens OX=9606 GN=MRPL51 PE=1 SV=1,MRPL51,1.8700E+4,1.4539E+4,7.9365E+3
sp|Q5H9R7|PP6R3_HUMAN,Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=2,PPP6R3,2.6370E+5,2.1150E+5,2.0932E+5
sp|Q6P4E1|GOLM2_HUMAN,Protein GOLM2 OS=Homo sapiens OX=9606 GN=GOLM2 PE=1 SV=2,GOLM2,3.4263E+5,4.3214E+5,3.6913E+5
sp|Q7Z304|MAMC2_HUMAN,MAM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MAMDC2 PE=1 SV=3,MAMDC2,1.1816E+4,1.0214E+4,6.1051E+3
sp|Q86SX6|GLRX5_HUMAN,"Glutaredoxin-related protein 5, mitochondrial OS=Homo sapiens OX=9606 GN=GLRX5 PE=1 SV=2",GLRX5,5.0521E+4,3.9695E+4,3.5981E+4
sp|Q92820|GGH_HUMAN,Gamma-glutamyl hydrolase OS=Homo sapiens OX=9606 GN=GGH PE=1 SV=2,GGH,3.8759E+5,3.2989E+5,4.1789E+5
sp|Q969S9|RRF2M_HUMAN,"Ribosome-releasing factor 2, mitochondrial OS=Homo sapiens OX=9606 GN=GFM2 PE=1 SV=1",GFM2,9.1442E+3,3.8304E+3,#N/A
sp|Q96S52|PIGS_HUMAN,GPI transamidase component PIG-S OS=Homo sapiens OX=9606 GN=PIGS PE=1 SV=3,PIGS,#N/A,6.3488E+3,4.1388E+3
sp|Q9H0V9|LMA2L_HUMAN,VIP36-like protein OS=Homo sapiens OX=9606 GN=LMAN2L PE=1 SV=1,LMAN2L,6.1571E+4,6.7288E+4,7.1916E+4
sp|Q9H853|TBA4B_HUMAN,Putative tubulin-like protein alpha-4B OS=Homo sapiens OX=9606 GN=TUBA4B PE=5 SV=2,TUBA4B,1.2127E+6,1.1907E+6,1.3282E+6
sp|Q9HC38|GLOD4_HUMAN,Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,GLOD4,3.8650E+5,3.3121E+5,4.4137E+5
sp|Q9NSC7|SIA7A_HUMAN,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 OS=Homo sapiens OX=9606 GN=ST6GALNAC1 PE=1 SV=1",ST6GALNAC1,1.0984E+4,1.9073E+4,1.9919E+4
sp|Q9NZP8|C1RL_HUMAN,Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2,C1RL,6.3074E+6,6.1362E+6,6.1265E+6
sp|Q9P0J1|PDP1_HUMAN,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PDP1 PE=1 SV=3",PDP1,2.6532E+4,2.8094E+4,3.2560E+4
sp|Q9UBQ6|EXTL2_HUMAN,Exostosin-like 2 OS=Homo sapiens OX=9606 GN=EXTL2 PE=1 SV=1,EXTL2,1.0324E+4,7.6864E+3,2.7970E+3
sp|Q9UDR5|AASS_HUMAN,"Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens OX=9606 GN=AASS PE=1 SV=1",AASS,4.0264E+3,5.8656E+3,5.1386E+3
sp|Q9UGR2|Z3H7B_HUMAN,Zinc finger CCCH domain-containing protein 7B OS=Homo sapiens OX=9606 GN=ZC3H7B PE=1 SV=2,ZC3H7B,7.0475E+3,7.1843E+3,4.1851E+3
sp|Q9Y2S6|TMA7_HUMAN / sp|A0A024R1R8|TMA7B_HUMAN,"Translation machinery-associated protein 7 OS=Homo sapiens OX=9606 GN=TMA7 PE=1 SV=1
Translation machinery-associated protein 7B OS=Homo sapiens OX=9606 GN=TMA7B PE=3 SV=1",TMA7 / TMA7B,7.0871E+3,7.9217E+3,6.2188E+3
sp|Q9Y587|AP4S1_HUMAN,AP-4 complex subunit sigma-1 OS=Homo sapiens OX=9606 GN=AP4S1 PE=1 SV=1,AP4S1,1.7549E+4,2.0238E+4,2.5001E+4
sp|A0A0B4J1V6|HV373_HUMAN,Immunoglobulin heavy variable 3-73 OS=Homo sapiens OX=9606 GN=IGHV3-73 PE=1 SV=1,IGHV3-73,6.3428E+5,6.0724E+5,6.0815E+5
sp|O00461|GOLI4_HUMAN,Golgi integral membrane protein 4 OS=Homo sapiens OX=9606 GN=GOLIM4 PE=1 SV=1,GOLIM4,2.8311E+5,2.6476E+5,2.8812E+5
sp|O00560|SDCB1_HUMAN,Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1,SDCBP,6.8256E+4,6.5393E+4,6.0741E+4
sp|O14798|TR10C_HUMAN,Tumor necrosis factor receptor superfamily member 10C OS=Homo sapiens OX=9606 GN=TNFRSF10C PE=1 SV=3,TNFRSF10C,9.5475E+3,7.3327E+3,7.3026E+3
sp|O95633|FSTL3_HUMAN,Follistatin-related protein 3 OS=Homo sapiens OX=9606 GN=FSTL3 PE=1 SV=1,FSTL3,9.5090E+3,1.3502E+4,1.3167E+4
sp|P04278|SHBG_HUMAN,Sex hormone-binding globulin OS=Homo sapiens OX=9606 GN=SHBG PE=1 SV=2,SHBG,6.9923E+5,7.5903E+5,7.1052E+5
sp|P15907|SIAT1_HUMAN,"Beta-galactoside alpha-2,6-sialyltransferase 1 OS=Homo sapiens OX=9606 GN=ST6GAL1 PE=1 SV=1",ST6GAL1,8.8713E+4,8.9315E+4,9.7984E+4
sp|P24593|IBP5_HUMAN,Insulin-like growth factor-binding protein 5 OS=Homo sapiens OX=9606 GN=IGFBP5 PE=1 SV=1,IGFBP5,4.1734E+5,3.5782E+5,4.3946E+5
sp|P30260|CDC27_HUMAN,Cell division cycle protein 27 homolog OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=2,CDC27,6.0684E+3,8.2341E+3,4.8329E+3
sp|P31040|SDHA_HUMAN,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2",SDHA,1.1709E+6,1.0026E+6,1.0523E+6
sp|P35606|COPB2_HUMAN,Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,COPB2,1.5888E+6,1.4808E+6,1.4934E+6
sp|P49189|AL9A1_HUMAN,4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3,ALDH9A1,6.0542E+5,6.5250E+5,6.1667E+5
sp|P78559|MAP1A_HUMAN,Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6,MAP1A,4.6766E+5,4.6951E+5,4.2190E+5
sp|Q01970|PLCB3_HUMAN,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens OX=9606 GN=PLCB3 PE=1 SV=2",PLCB3,1.0833E+6,1.6266E+6,1.6803E+6
sp|Q04656|ATP7A_HUMAN,Copper-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP7A PE=1 SV=4,ATP7A,7.2243E+3,1.7242E+4,1.7430E+4
sp|Q04760|LGUL_HUMAN,Lactoylglutathione lyase OS=Homo sapiens OX=9606 GN=GLO1 PE=1 SV=4,GLO1,5.7036E+5,5.7343E+5,5.8454E+5
sp|Q13107|UBP4_HUMAN,Ubiquitin carboxyl-terminal hydrolase 4 OS=Homo sapiens OX=9606 GN=USP4 PE=1 SV=3,USP4,3.1390E+5,3.4523E+5,3.3562E+5
sp|Q3KQZ1|S2535_HUMAN,Solute carrier family 25 member 35 OS=Homo sapiens OX=9606 GN=SLC25A35 PE=1 SV=1,SLC25A35,3.9826E+4,3.1346E+4,2.9839E+4
sp|Q5BLP8|NICOL_HUMAN,NELL2-interacting cell ontogeny regulator 1 OS=Homo sapiens OX=9606 GN=NICOL1 PE=1 SV=3,NICOL1,2.4753E+4,2.2529E+4,2.0248E+4
sp|Q8NDH3|PEPL1_HUMAN,Probable aminopeptidase NPEPL1 OS=Homo sapiens OX=9606 GN=NPEPL1 PE=1 SV=3,NPEPL1,1.5826E+4,1.8286E+4,3.3582E+4
sp|Q96NW4|ANR27_HUMAN,Ankyrin repeat domain-containing protein 27 OS=Homo sapiens OX=9606 GN=ANKRD27 PE=1 SV=2,ANKRD27,4.3820E+4,2.0925E+4,3.6999E+4
sp|Q9BT78|CSN4_HUMAN,COP9 signalosome complex subunit 4 OS=Homo sapiens OX=9606 GN=COPS4 PE=1 SV=1,COPS4,1.9705E+5,2.0378E+5,1.7381E+5
sp|Q9BVG9|PTSS2_HUMAN,Phosphatidylserine synthase 2 OS=Homo sapiens OX=9606 GN=PTDSS2 PE=1 SV=1,PTDSS2,2.3332E+4,5.5082E+4,3.9703E+4
sp|Q9BZF9|UACA_HUMAN,Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Homo sapiens OX=9606 GN=UACA PE=1 SV=2,UACA,9.2069E+5,8.5393E+5,8.2536E+5
sp|Q9H6S3|ES8L2_HUMAN,Epidermal growth factor receptor kinase substrate 8-like protein 2 OS=Homo sapiens OX=9606 GN=EPS8L2 PE=1 SV=2,EPS8L2,#N/A,#N/A,#N/A
sp|Q9HC16|ABC3G_HUMAN,DNA dC->dU-editing enzyme APOBEC-3G OS=Homo sapiens OX=9606 GN=APOBEC3G PE=1 SV=1,APOBEC3G,6.6235E+4,4.2678E+4,4.0801E+4
sp|A0A075B6I4|LVX54_HUMAN,Immunoglobulin lambda variable 10-54 OS=Homo sapiens OX=9606 GN=IGLV10-54 PE=1 SV=1,IGLV10-54,1.0742E+5,7.4533E+4,1.0300E+5
sp|A0A075B6R2|HV404_HUMAN,Immunoglobulin heavy variable 4-4 OS=Homo sapiens OX=9606 GN=IGHV4-4 PE=1 SV=2,IGHV4-4,8.4229E+5,9.2591E+5,9.3184E+5
sp|A1L390|PKHG3_HUMAN,Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1,PLEKHG3,4.1597E+3,6.6148E+3,#N/A
sp|A6NCI4|VWA3A_HUMAN,von Willebrand factor A domain-containing protein 3A OS=Homo sapiens OX=9606 GN=VWA3A PE=1 SV=3,VWA3A,#N/A,4.6827E+3,#N/A
sp|O60502|OGA_HUMAN,Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2,OGA,1.9592E+4,8.4505E+4,4.7451E+4
sp|O95273|CCDB1_HUMAN,Cyclin-D1-binding protein 1 OS=Homo sapiens OX=9606 GN=CCNDBP1 PE=1 SV=2,CCNDBP1,3.1427E+4,3.0960E+4,3.0729E+4
sp|O95486|SC24A_HUMAN,Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,SEC24A,2.4361E+4,3.0019E+4,1.9489E+4
sp|O95562|SFT2B_HUMAN,Vesicle transport protein SFT2B OS=Homo sapiens OX=9606 GN=SFT2D2 PE=1 SV=1,SFT2D2,2.7603E+4,3.3238E+4,2.5021E+4
sp|P21333|FLNA_HUMAN,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,FLNA,8.1006E+8,8.3083E+8,8.2304E+8
sp|P23083|HV102_HUMAN,Immunoglobulin heavy variable 1-2 OS=Homo sapiens OX=9606 GN=IGHV1-2 PE=1 SV=2,IGHV1-2,2.9197E+5,9.4129E+6,9.1512E+6
sp|P51116|FXR2_HUMAN,RNA-binding protein FXR2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,FXR2,5.0746E+4,5.8781E+4,4.9553E+4
sp|P62753|RS6_HUMAN,Small ribosomal subunit protein eS6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,RPS6,2.7158E+3,3.5340E+3,4.7993E+3
sp|Q0VDG4|SCRN3_HUMAN,Secernin-3 OS=Homo sapiens OX=9606 GN=SCRN3 PE=1 SV=1,SCRN3,4.8377E+4,4.1195E+4,6.2984E+4
sp|Q8N5N7|RM50_HUMAN,Large ribosomal subunit protein mL50 OS=Homo sapiens OX=9606 GN=MRPL50 PE=1 SV=2,MRPL50,4.2449E+4,3.2546E+4,3.3938E+4
sp|Q8N6H7|ARFG2_HUMAN,ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1,ARFGAP2,1.2510E+5,1.1224E+5,9.1247E+4
sp|Q8NBQ5|DHB11_HUMAN,Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens OX=9606 GN=HSD17B11 PE=1 SV=4,HSD17B11,1.7845E+5,2.3104E+5,2.0753E+5
sp|Q969V3|NCLN_HUMAN,BOS complex subunit NCLN OS=Homo sapiens OX=9606 GN=NCLN PE=1 SV=2,NCLN,1.6876E+5,1.4670E+5,2.1180E+5
sp|Q9BV79|MECR_HUMAN,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS=Homo sapiens OX=9606 GN=MECR PE=1 SV=2",MECR,1.1895E+4,1.8532E+4,1.5069E+4
sp|Q9H2G2|SLK_HUMAN,STE20-like serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=SLK PE=1 SV=1,SLK,6.4652E+5,4.7708E+5,6.3805E+5
sp|Q9H939|PPIP2_HUMAN,Proline-serine-threonine phosphatase-interacting protein 2 OS=Homo sapiens OX=9606 GN=PSTPIP2 PE=1 SV=4,PSTPIP2,3.0405E+6,3.0228E+6,3.2242E+6
sp|Q9NRY5|F1142_HUMAN,Protein FAM114A2 OS=Homo sapiens OX=9606 GN=FAM114A2 PE=1 SV=4,FAM114A2,5.5227E+5,5.5800E+5,4.9008E+5
sp|Q9Y2R5|RT17_HUMAN,Small ribosomal subunit protein uS17m OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1,MRPS17,1.3885E+4,6.5310E+3,5.9456E+3
sp|A0A0B4J1Y9|HV372_HUMAN,Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=1 SV=1,IGHV3-72,1.0072E+6,9.9049E+5,9.6545E+5
sp|O75223|GGCT_HUMAN,Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1,GGCT,2.1796E+5,2.1106E+5,1.9304E+5
sp|P02751|FINC_HUMAN,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,FN1,6.4094E+8,6.6769E+8,6.7711E+8
sp|P04114|APOB_HUMAN,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=3,APOB,1.7321E+8,1.7661E+8,1.7554E+8
sp|P07911|UROM_HUMAN,Uromodulin OS=Homo sapiens OX=9606 GN=UMOD PE=1 SV=1,UMOD,7.4866E+4,4.4970E+4,4.0215E+4
sp|P11049|CD37_HUMAN,Leukocyte antigen CD37 OS=Homo sapiens OX=9606 GN=CD37 PE=1 SV=2,CD37,1.5329E+5,1.5707E+5,1.4646E+5
sp|P36542|ATPG_HUMAN,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",ATP5F1C,1.7949E+6,1.9911E+6,1.9297E+6
sp|P47985|UCRI_HUMAN,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRFS1 PE=1 SV=2",UQCRFS1,6.5728E+5,4.1138E+5,7.9408E+5
sp|P48634|PRC2A_HUMAN,Protein PRRC2A OS=Homo sapiens OX=9606 GN=PRRC2A PE=1 SV=3,PRRC2A,2.1173E+5,2.6997E+5,2.2529E+5
sp|Q10567|AP1B1_HUMAN,AP-1 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP1B1 PE=1 SV=3,AP1B1,7.7182E+5,7.8153E+5,7.8796E+5
sp|Q14019|COTL1_HUMAN,Coactosin-like protein OS=Homo sapiens OX=9606 GN=COTL1 PE=1 SV=3,COTL1,2.3362E+6,2.3483E+6,2.3011E+6
sp|Q16658|FSCN1_HUMAN,Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,FSCN1,4.6704E+4,4.8559E+4,6.4111E+4
sp|Q504Y2|PKDCC_HUMAN,Extracellular tyrosine-protein kinase PKDCC OS=Homo sapiens OX=9606 GN=PKDCC PE=1 SV=2,PKDCC,3.5375E+4,2.8151E+4,3.6848E+4
sp|Q8IWA4|MFN1_HUMAN,Mitofusin-1 OS=Homo sapiens OX=9606 GN=MFN1 PE=1 SV=3,MFN1,4.3743E+4,3.9725E+4,3.3460E+4
sp|Q8NFT8|DNER_HUMAN,Delta and Notch-like epidermal growth factor-related receptor OS=Homo sapiens OX=9606 GN=DNER PE=1 SV=1,DNER,9.3196E+3,1.3278E+4,#N/A
sp|Q8TEU8|WFKN2_HUMAN,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 OS=Homo sapiens OX=9606 GN=WFIKKN2 PE=1 SV=1",WFIKKN2,5.0369E+3,#N/A,#N/A
sp|Q92835|SHIP1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 OS=Homo sapiens OX=9606 GN=INPP5D PE=1 SV=2",INPP5D,9.6323E+5,8.2965E+5,8.5897E+5
sp|Q96F85|CNRP1_HUMAN,CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens OX=9606 GN=CNRIP1 PE=1 SV=1,CNRIP1,3.9160E+3,3.9358E+3,5.4822E+3
sp|Q96GD0|PLPP_HUMAN,Chronophin OS=Homo sapiens OX=9606 GN=PDXP PE=1 SV=2,PDXP,1.6118E+4,2.0466E+4,1.9660E+4
sp|Q96RR4|KKCC2_HUMAN,Calcium/calmodulin-dependent protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=CAMKK2 PE=1 SV=2,CAMKK2,7.3584E+3,#N/A,8.2101E+3
sp|Q9H2H8|PPIL3_HUMAN,Peptidyl-prolyl cis-trans isomerase-like 3 OS=Homo sapiens OX=9606 GN=PPIL3 PE=1 SV=1,PPIL3,2.3492E+4,1.7006E+4,1.3557E+4
sp|Q9UH62|ARMX3_HUMAN,Armadillo repeat-containing X-linked protein 3 OS=Homo sapiens OX=9606 GN=ARMCX3 PE=1 SV=1,ARMCX3,5.3563E+5,5.9901E+5,5.8867E+5
sp|Q9UHY8|FEZ2_HUMAN,Fasciculation and elongation protein zeta-2 OS=Homo sapiens OX=9606 GN=FEZ2 PE=1 SV=2,FEZ2,7.4869E+3,3.3635E+3,#N/A
sp|Q9UNZ2|NSF1C_HUMAN,NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2,NSFL1C,6.0592E+5,5.7545E+5,6.0088E+5
sp|Q9Y5P4|CERT_HUMAN,Ceramide transfer protein OS=Homo sapiens OX=9606 GN=CERT1 PE=1 SV=1,CERT1,1.5155E+4,1.8677E+4,2.0158E+4
sp|P16083|NQO2_HUMAN,Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5,NQO2,1.1395E+5,1.0217E+5,1.0407E+5
sp|P16284|PECA1_HUMAN,Platelet endothelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=PECAM1 PE=1 SV=2,PECAM1,1.5026E+7,1.4315E+7,1.4379E+7
sp|P28288|ABCD3_HUMAN,ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1,ABCD3,1.1141E+5,1.1503E+5,1.1835E+5
sp|P56937|DHB7_HUMAN,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 OS=Homo sapiens OX=9606 GN=HSD17B7 PE=1 SV=1,HSD17B7,2.4631E+4,2.4347E+4,1.5993E+4
sp|Q08174|PCDH1_HUMAN,Protocadherin-1 OS=Homo sapiens OX=9606 GN=PCDH1 PE=1 SV=2,PCDH1,3.3137E+5,3.6844E+5,2.9233E+5
sp|Q14156|EFR3A_HUMAN,Protein EFR3 homolog A OS=Homo sapiens OX=9606 GN=EFR3A PE=1 SV=2,EFR3A,2.3025E+5,2.3359E+5,2.2910E+5
sp|Q15846|CLUL1_HUMAN,Clusterin-like protein 1 OS=Homo sapiens OX=9606 GN=CLUL1 PE=1 SV=1,CLUL1,5.1544E+3,5.3013E+3,3.0774E+3
sp|Q16401|PSMD5_HUMAN,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3,PSMD5,7.8883E+5,8.8269E+5,8.3776E+5
sp|Q6P9B6|MEAK7_HUMAN,MTOR-associated protein MEAK7 OS=Homo sapiens OX=9606 GN=MEAK7 PE=1 SV=2,MEAK7,2.1208E+5,1.7173E+5,1.5886E+5
sp|Q70CQ4|UBP31_HUMAN,Ubiquitin carboxyl-terminal hydrolase 31 OS=Homo sapiens OX=9606 GN=USP31 PE=1 SV=2,USP31,5.4891E+4,6.3940E+4,5.8144E+4
sp|Q7Z7M8|B3GN8_HUMAN,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 OS=Homo sapiens OX=9606 GN=B3GNT8 PE=1 SV=1",B3GNT8,3.3172E+5,1.7387E+5,3.8974E+5
sp|Q86VS8|HOOK3_HUMAN,Protein Hook homolog 3 OS=Homo sapiens OX=9606 GN=HOOK3 PE=1 SV=2,HOOK3,1.9219E+5,2.0709E+5,1.7161E+5
sp|Q96FZ7|CHMP6_HUMAN,Charged multivesicular body protein 6 OS=Homo sapiens OX=9606 GN=CHMP6 PE=1 SV=3,CHMP6,2.8225E+5,3.0540E+5,3.0219E+5
sp|Q96I24|FUBP3_HUMAN,Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,FUBP3,4.6128E+3,4.5047E+3,6.5165E+3
sp|Q9H7M9|VISTA_HUMAN,V-type immunoglobulin domain-containing suppressor of T-cell activation OS=Homo sapiens OX=9606 GN=VSIR PE=1 SV=3,VSIR,7.6596E+5,7.7047E+5,7.4146E+5
sp|Q9HCP0|KC1G1_HUMAN,Casein kinase I isoform gamma-1 OS=Homo sapiens OX=9606 GN=CSNK1G1 PE=1 SV=1,CSNK1G1,6.0043E+4,5.9030E+4,5.7230E+4
sp|Q9NZ45|CISD1_HUMAN,CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CISD1 PE=1 SV=1,CISD1,1.0646E+4,1.2438E+4,9.5812E+3
sp|Q9Y3Q3|TMED3_HUMAN,Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=TMED3 PE=1 SV=1,TMED3,2.1167E+4,3.1051E+4,2.6005E+4
sp|A0A075B6I0|LV861_HUMAN,Immunoglobulin lambda variable 8-61 OS=Homo sapiens OX=9606 GN=IGLV8-61 PE=1 SV=7,IGLV8-61,1.6740E+6,1.7868E+6,1.6749E+6
sp|P05543|THBG_HUMAN,Thyroxine-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA7 PE=1 SV=2,SERPINA7,8.8404E+4,9.4057E+4,1.0488E+5
sp|P12429|ANXA3_HUMAN,Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3,ANXA3,1.2750E+6,1.4138E+6,1.2204E+6
sp|P22607|FGFR3_HUMAN,Fibroblast growth factor receptor 3 OS=Homo sapiens OX=9606 GN=FGFR3 PE=1 SV=1,FGFR3,4.7866E+3,8.6075E+3,1.0831E+4
